"","tank","trial.date","pop","food.treat","avgspeed","maxspeed","max.accel","swimming.time","freezing.time","burst.swimming.time","tot.dist.traveled","avg.d.from.center","prop.d.from.center","bday","time.mother.in.food.treat","mother.SL.mm","brood.size","age","PC1","PC2","PC3","PC4","PC5","week.of.measure","mom.sl.2"
"115","32-PSO-L",2019-08-19,"PSO","L",4.39571112778797,39.4446083319053,35.6702867723968,92.5,23.3333333333333,4.7,529.829714602709,21.9196046949985,0.472881818672203,2019-07-02,8,48,9,48,-0.953329007431827,-0.26112305119046,-1.05563209006975,0.0456715897056802,-0.0408612004800459,7,48
"119","48-PSO-H",2019-08-19,"PSO","H",8.6933709721514,175.573345451656,169.049098448161,75.2333333333333,14.8,22.9666666666667,982.350919853108,30.643106078827,0.661077968054202,2019-07-11,1,NA,5,39,0.570623475487073,0.510122328675279,-0.682087611101719,0.0137828841405046,-0.0484614060251207,6,44.9166666666667
"121","54-PSO-L",2019-08-19,"PSO","L",16.7165085544603,1703.36906927257,1703.36906927257,66.8333333333333,14.8,28.2333333333333,1836.58707318337,40.6954194261095,0.877941195455854,2019-08-19,41,35,9,0,6.42618895555384,-1.7019481555392,-0.270728054125188,0.00846703816615195,-0.209843535251265,1,35
"122","58-PSO-H-2ndBrood",2019-08-19,"PSO","H",2.30270715855635,24.6904857273672,12.1942046860921,62.4333333333333,55.9666666666667,0.6,274.022151868205,24.0061846589166,0.517896577919559,2019-08-03,40,39,26,16,-1.44075858372469,-0.565084886893007,-0.560606652223772,0.0188622418081392,-0.0128208888589579,3,39
"1","02-BON-L",2019-06-26,"BON","L",3.06054146659089,286.352053497868,262.747430148269,67.7666666666667,57.2666666666667,4.03333333333333,395.013885287997,37.1256157977182,0.800928162803787,2019-06-21,0,NA,12,5,-0.233517711412714,-0.598892238506677,0.71925557056612,0.0943138913348938,-0.0128755892187815,1,49.7627118644068
"3","09-BON-L",2019-06-26,"BON","L",8.96692691717655,387.216775209262,328.678514212376,85.0666666666667,14.0666666666667,24.5666666666667,1109.20885965474,43.188717069962,0.931730264224284,2019-06-21,0,NA,14,5,1.53668746727634,0.605393009762206,0.546541725795651,0.180664618764856,0.0248669131106708,1,49.7627118644068
"4","12-BON-H",2019-06-26,"BON","H",12.988936064828,184.848986111031,163.617601497044,84.1333333333333,3.16666666666667,44.3333333333333,1709.77695066686,38.5721583106543,0.832135096679742,2019-06-22,0,66,25,4,2.02065943688866,1.85656742929995,-0.592581287009237,0.378593143624211,-0.0621558404936382,1,66
"5","21-BON-H",2019-06-26,"BON","H",7.90815238445581,368.931664096523,367.173137648452,100.433333333333,15.0333333333333,15.0666666666667,1032.27749125097,40.1363353924471,0.865879815777361,2019-06-26,2,NA,8,0,1.28019903512569,0.295231437357178,0.355131961403682,0.23037245376876,-0.0854261200168396,1,49.7627118644068
"6","40-BON-L",2019-06-26,"BON","L",6.30170425707439,41.8089922359262,31.7024479387294,103.133333333333,18.6666666666667,9.96666666666667,830.354564273836,35.6680753401441,0.769483965157139,2019-06-24,0,37,3,2,-0.0530801617019384,0.688811894601511,0.0353278434273911,0.184464933995071,-0.0355178146628612,1,37
"8","09-BON-L",2019-07-01,"BON","L",8.69867955542571,49.0158424065622,29.8925522676824,80.2,15.0333333333333,24.6,1042.39176672518,35.0632277278288,0.75643530652889,2019-06-21,0,NA,14,10,0.424568615998364,1.08082916134244,-0.307118369558371,0.101435286310685,-0.0180150765034185,2,49.7627118644068
"10","13-BON-H",2019-07-02,"BON","H",0.720948310045918,13.4642717593184,12.5756638386898,29.1666666666667,91.4333333333333,0,86.9463661915377,43.831488269329,0.945597066020038,2019-07-02,8,46,6,0,-1.27428632579392,-0.15771251857939,1.66454375511191,0.0217867039190917,-0.0115860771801774,1,46
"11","21-BON-H",2019-07-02,"BON","H",1.53154183856524,23.722743645687,21.8636275411435,8.63333333333333,15.8,0.433333333333333,38.0843403856556,43.3191501546332,0.934544157775404,2019-06-26,2,NA,8,6,-1.22123091013228,-0.168336694491881,1.59310790901714,-0.182063628758865,0.00684209643358507,1,49.7627118644068
"12","22-BON-H",2019-07-02,"BON","H",3.16930988659915,49.2382856179652,34.0714609012555,58.5666666666667,56.3,5.4,381.162335694991,41.7902131506264,0.901559689252806,2019-06-27,3,67,48,5,-0.683257752107929,0.19192480340923,1.13021672169807,0.0504695720038553,0.000763305917386812,1,67
"14","27-BON-L",2019-07-02,"BON","L",4.77259415565358,214.127115417022,136.005241613266,53.8,57.6,9.26666666666667,575.893028115532,41.1415951648793,0.887566752017329,2019-06-27,3,45,5,5,0.00775294371010285,0.141912599676813,0.87917749523738,0.0860286065899297,0.0962567682691685,1,45
"15","29-BON-H",2019-07-02,"BON","H",1.24048972078992,33.4902373329744,29.8361688469832,38.1666666666667,79.2333333333333,1,146.873982941526,26.4436456521812,0.570481056676173,2019-07-02,8,46,7,0,-1.58999623113522,-0.729471482702093,-0.164484672915379,0.00909431064517106,-0.0242004759970749,1,46
"17","35-BON-L",2019-07-02,"BON","L",1.5187398214512,102.325911842949,35.7529421858225,43.8,75.3,0.933333333333333,182.29940323486,43.2109409297499,0.932209709879471,2019-06-30,6,65,33,2,-0.966958165132195,-0.165390512904357,1.50668001495907,0.0422262047947402,0.0995877586224771,1,65
"18","40-BON-L",2019-07-02,"BON","L",2.09370149677107,282.039244585011,235.966276028074,50.4333333333333,69.4333333333333,0.833333333333333,252.709770660268,41.3559797688376,0.892191770708394,2019-06-24,0,37,3,8,-0.409787696604551,-0.624632884914782,1.29177838929285,0.0525812573858291,0.0405259912772592,2,37
